id,service_id,location_id,language
9,1218,,Spanish
10,1219,,Spanish
11,1220,,Spanish
15,1293,,English
16,1293,,Spanish
62,3431,,Spanish
63,3432,,Spanish
64,3433,,Spanish
65,3434,,Spanish
66,3435,,Spanish
75,3892,,Spanish
76,3893,,Spanish
77,3894,,Spanish
78,3895,,Spanish
79,3896,,Spanish
80,3897,,Spanish
85,4110,,Spanish
86,4111,,Spanish
87,4112,,Spanish
88,4113,,Spanish
89,4114,,Spanish
90,4115,,Spanish
91,4116,,Spanish
92,4117,,Spanish
93,4118,,Spanish
94,4119,,Spanish
95,4120,,Spanish
96,4121,,Spanish
97,4123,,Russian
98,4123,,Spanish
102,4490,,Spanish
103,4491,,Spanish
106,5144,,French
107,5144,,Spanish
108,5145,,French
109,5145,,Spanish
110,5146,,French
111,5146,,Spanish
112,5147,,French
113,5147,,Spanish
114,5148,,French
115,5148,,Spanish
131,6212,,Russian
132,6212,,Spanish
133,6213,,Russian
134,6213,,Spanish
135,6214,,Russian
136,6214,,Spanish
137,6215,,Russian
138,6215,,Spanish
139,6216,,Russian
140,6216,,Spanish
141,6217,,Russian
142,6217,,Spanish
143,6218,,Russian
144,6218,,Spanish
